id,disease_category,condition,symptom_keywords,recommended_medicine,dosage,duration,precautions,notes
1,General,Weakness,"tiredness, fatigue",Iron Supplements,5 ml syrup twice daily,10 days,Stay hydrated,Monitor symptoms regularly
2,Musculoskeletal,Arthritis,"joint pain, swelling",Naproxen,5 ml syrup twice daily,10 days,Take with water,Monitor blood sugar levels
3,Cardiac,Hypertension,high blood pressure,Losartan,1 capsule daily,As prescribed,Consult doctor if symptoms persist,Can be taken with meals
4,Musculoskeletal,Back Pain,lower back pain,Ibuprofen,5 ml syrup twice daily,10 days,Take after food,Check blood pressure regularly
5,Neurological,Epilepsy,"seizure, convulsion",Carbamazepine,1 tablet after meal,As prescribed,Avoid alcohol,Avoid spicy and oily food
6,Respiratory,Asthma,"wheezing, shortness of breath",Salbutamol,1 tablet after meal,Continuous,Take with water,Can be taken with meals
7,Respiratory,Bronchitis,"cough, chest congestion",Ambroxol,1 tablet after meal,5 days,Avoid alcohol,Check blood pressure regularly
8,Endocrine,PCOS,"irregular periods, acne",Metformin,5 ml syrup twice daily,As prescribed,Avoid alcohol,Get adequate rest
9,Endocrine,PCOS,"irregular periods, acne",Clomiphene,1 tablet twice daily,5 days,Do not exceed recommended dose,Consult doctor if no improvement in 3 days
10,Neurological,Insomnia,lack of sleep,Zolpidem,5 ml syrup twice daily,10 days,Store in cool dry place,Avoid spicy and oily food
11,Infection,Viral Infection,"fever, sore throat",Paracetamol,1 capsule daily,Continuous,Consult doctor if symptoms persist,Monitor symptoms regularly
12,Musculoskeletal,Muscle Cramps,stiff muscles,Cyclobenzaprine,1 tablet every 8 hours,Continuous,Consult doctor if symptoms persist,Consult doctor if no improvement in 3 days
13,Neurological,Insomnia,lack of sleep,Zolpidem,5 ml syrup twice daily,10 days,Consult doctor if symptoms persist,Avoid spicy and oily food
14,Skin,Fungal Infection,"itching, rashes",Clotrimazole,1 capsule daily,5 days,Do not exceed recommended dose,Check blood pressure regularly
15,Musculoskeletal,Muscle Cramps,stiff muscles,Cyclobenzaprine,1 capsule daily,Continuous,Avoid alcohol,Check blood pressure regularly
16,Endocrine,Diabetes,high blood sugar,Glimepiride,1 tablet twice daily,As prescribed,Avoid alcohol,Consult doctor if no improvement in 3 days
17,Respiratory,Allergic Rhinitis,"sneezing, itchy nose",Fluticasone,5 ml syrup twice daily,5 days,Consult doctor if symptoms persist,Consult doctor if no improvement in 3 days
18,Endocrine,Obesity,"overweight, high BMI",Phentermine,1 capsule daily,5 days,Do not exceed recommended dose,Get adequate rest
19,Cardiac,Hypertension,high blood pressure,Losartan,1 tablet every 8 hours,Continuous,Take after food,Get adequate rest
20,Musculoskeletal,Muscle Cramps,stiff muscles,Magnesium,1 tablet every 8 hours,7 days,Avoid alcohol,Consult doctor if no improvement in 3 days
21,Cardiac,Arrhythmia,irregular heartbeat,Propranolol,5 ml syrup twice daily,7 days,Consult doctor if symptoms persist,Consult doctor if no improvement in 3 days
22,Musculoskeletal,Back Pain,lower back pain,Paracetamol,1 tablet every 8 hours,Continuous,Stay hydrated,Avoid spicy and oily food
23,General,Dehydration,"dry mouth, dizziness",Electrolyte Solution,1 capsule daily,5 days,Avoid alcohol,Can be taken with meals
24,Digestive,Ulcer,"stomach pain, heartburn",Ranitidine,1 tablet twice daily,Continuous,Store in cool dry place,Check blood pressure regularly
25,Cardiac,Arrhythmia,irregular heartbeat,Propranolol,1 capsule daily,10 days,Take after food,Can be taken with meals
26,Endocrine,Diabetes,high blood sugar,Metformin,5 ml syrup twice daily,Continuous,Avoid driving after taking medicine,Can be taken with meals
27,Musculoskeletal,Gout,"joint pain, uric acid",Colchicine,1 capsule daily,10 days,Avoid alcohol,Monitor symptoms regularly
28,Cardiac,Angina,"chest pain, short breath",Aspirin,1 capsule daily,10 days,Avoid driving after taking medicine,Take full course even if you feel better
29,General,Weakness,"tiredness, fatigue",Vitamin B Complex,1 tablet twice daily,As prescribed,Avoid driving after taking medicine,Avoid spicy and oily food
30,Infection,Bacterial Infection,"fever, pain",Ciprofloxacin,5 ml syrup twice daily,10 days,Avoid driving after taking medicine,Get adequate rest
31,Digestive,Constipation,"hard stool, bloating",Bisacodyl,1 tablet after meal,5 days,Take with water,Check blood pressure regularly
32,Musculoskeletal,Gout,"joint pain, uric acid",Allopurinol,1 tablet after meal,As prescribed,Avoid alcohol,Consult doctor if no improvement in 3 days
33,Skin,Psoriasis,scaly patches,Coal Tar,1 capsule daily,Continuous,Consult doctor if symptoms persist,Avoid spicy and oily food
34,Neurological,Migraine,"headache, nausea",Sumatriptan,5 ml syrup twice daily,5 days,Take with water,Get adequate rest
35,Infection,Bacterial Infection,"fever, pain",Ciprofloxacin,1 tablet twice daily,7 days,Do not exceed recommended dose,Avoid spicy and oily food
36,Infection,Bacterial Infection,"fever, pain",Amoxicillin,1 tablet every 8 hours,7 days,Avoid alcohol,Can be taken with meals
37,Respiratory,Bronchitis,"cough, chest congestion",Ambroxol,1 tablet every 8 hours,7 days,Avoid alcohol,Avoid spicy and oily food
38,General,Pain,"body pain, headache",Paracetamol,1 tablet after meal,7 days,Take after food,Get adequate rest
39,General,Pain,"body pain, headache",Diclofenac,1 tablet after meal,5 days,Store in cool dry place,Consult doctor if no improvement in 3 days
40,Respiratory,Bronchitis,"cough, chest congestion",Ambroxol,1 tablet every 8 hours,As prescribed,Avoid alcohol,Take full course even if you feel better
41,Endocrine,Thyroid Disorder,"fatigue, weight change",Levothyroxine,1 tablet after meal,7 days,Do not exceed recommended dose,Avoid spicy and oily food
42,Musculoskeletal,Back Pain,lower back pain,Paracetamol,5 ml syrup twice daily,As prescribed,Consult doctor if symptoms persist,Avoid spicy and oily food
43,Infection,Urinary Tract Infection,burning urination,Nitrofurantoin,1 capsule daily,7 days,Take with water,Monitor symptoms regularly
44,Respiratory,Asthma,"wheezing, shortness of breath",Salbutamol,1 tablet every 8 hours,As prescribed,Do not exceed recommended dose,Get adequate rest
45,General,Fever,"high temperature, chills",Paracetamol,1 capsule daily,5 days,Avoid alcohol,Take full course even if you feel better
46,General,Pain,"body pain, headache",Paracetamol,1 tablet after meal,As prescribed,Consult doctor if symptoms persist,Check blood pressure regularly
47,Infection,Urinary Tract Infection,burning urination,Nitrofurantoin,1 capsule daily,Continuous,Avoid alcohol,Monitor blood sugar levels
48,Endocrine,Diabetes,high blood sugar,Glimepiride,1 tablet twice daily,Continuous,Avoid alcohol,Take full course even if you feel better
49,Skin,Acne,"pimples, oily skin",Clindamycin,1 tablet every 8 hours,Continuous,Avoid alcohol,Avoid spicy and oily food
50,Musculoskeletal,Muscle Cramps,stiff muscles,Cyclobenzaprine,1 tablet twice daily,As prescribed,Avoid alcohol,Monitor blood sugar levels
51,Skin,Psoriasis,scaly patches,Coal Tar,1 tablet every 8 hours,5 days,Consult doctor if symptoms persist,Get adequate rest
52,Infection,Urinary Tract Infection,burning urination,Cefixime,1 capsule daily,10 days,Store in cool dry place,Consult doctor if no improvement in 3 days
53,Infection,Ear Infection,"ear pain, discharge",Amoxicillin,5 ml syrup twice daily,Continuous,Avoid alcohol,Get adequate rest
54,Neurological,Insomnia,lack of sleep,Zolpidem,1 tablet every 8 hours,10 days,Avoid driving after taking medicine,Monitor symptoms regularly
55,Cardiac,Angina,"chest pain, short breath",Nitroglycerin,1 tablet after meal,5 days,Take with water,Monitor symptoms regularly
56,Digestive,Gastritis,"stomach pain, acidity",Pantoprazole,1 tablet every 8 hours,Continuous,Stay hydrated,Get adequate rest
57,Respiratory,Bronchitis,"cough, chest congestion",Ambroxol,1 tablet twice daily,5 days,Avoid alcohol,Consult doctor if no improvement in 3 days
58,Neurological,Epilepsy,"seizure, convulsion",Valproate,1 tablet twice daily,Continuous,Store in cool dry place,Take full course even if you feel better
59,Cardiac,Heart Failure,"fatigue, swelling",Furosemide,1 tablet after meal,5 days,Take after food,Avoid spicy and oily food
60,Respiratory,Bronchitis,"cough, chest congestion",Ambroxol,1 tablet twice daily,7 days,Stay hydrated,Avoid spicy and oily food
61,Infection,Bacterial Infection,"fever, pain",Amoxicillin,1 capsule daily,7 days,Store in cool dry place,Get adequate rest
62,Endocrine,Obesity,"overweight, high BMI",Phentermine,5 ml syrup twice daily,10 days,Avoid alcohol,Avoid spicy and oily food
63,Cardiac,Arrhythmia,irregular heartbeat,Propranolol,1 capsule daily,As prescribed,Do not exceed recommended dose,Avoid spicy and oily food
64,Neurological,Migraine,"headache, nausea",Ibuprofen,5 ml syrup twice daily,Continuous,Avoid alcohol,Consult doctor if no improvement in 3 days
65,Musculoskeletal,Arthritis,"joint pain, swelling",Diclofenac,1 capsule daily,5 days,Avoid driving after taking medicine,Monitor blood sugar levels
66,Cardiac,Angina,"chest pain, short breath",Aspirin,1 capsule daily,As prescribed,Store in cool dry place,Check blood pressure regularly
67,Neurological,Anxiety,"restlessness, tension",Diazepam,1 capsule daily,10 days,Avoid driving after taking medicine,Get adequate rest
68,Endocrine,Obesity,"overweight, high BMI",Orlistat,1 capsule daily,As prescribed,Consult doctor if symptoms persist,Can be taken with meals
69,Endocrine,Obesity,"overweight, high BMI",Phentermine,1 capsule daily,10 days,Take after food,Consult doctor if no improvement in 3 days
70,Skin,Acne,"pimples, oily skin",Clindamycin,1 tablet after meal,7 days,Avoid alcohol,Monitor blood sugar levels
71,Endocrine,PCOS,"irregular periods, acne",Metformin,1 capsule daily,5 days,Stay hydrated,Monitor symptoms regularly
72,Cardiac,Hypertension,high blood pressure,Losartan,5 ml syrup twice daily,10 days,Stay hydrated,Avoid spicy and oily food
73,General,Dehydration,"dry mouth, dizziness",Electrolyte Solution,1 tablet after meal,Continuous,Store in cool dry place,Avoid spicy and oily food
74,Neurological,Migraine,"headache, nausea",Ibuprofen,1 capsule daily,10 days,Do not exceed recommended dose,Avoid spicy and oily food
75,Endocrine,Diabetes,high blood sugar,Metformin,1 tablet twice daily,As prescribed,Avoid alcohol,Can be taken with meals
76,Respiratory,Asthma,"wheezing, shortness of breath",Salbutamol,1 tablet after meal,Continuous,Avoid driving after taking medicine,Monitor symptoms regularly
77,Digestive,Ulcer,"stomach pain, heartburn",Ranitidine,1 tablet twice daily,Continuous,Store in cool dry place,Avoid spicy and oily food
78,Cardiac,Angina,"chest pain, short breath",Nitroglycerin,1 tablet twice daily,As prescribed,Store in cool dry place,Consult doctor if no improvement in 3 days
79,Digestive,Ulcer,"stomach pain, heartburn",Sucralfate,1 tablet after meal,10 days,Avoid driving after taking medicine,Consult doctor if no improvement in 3 days
80,Infection,Bacterial Infection,"fever, pain",Amoxicillin,5 ml syrup twice daily,Continuous,Consult doctor if symptoms persist,Monitor symptoms regularly
81,Musculoskeletal,Muscle Cramps,stiff muscles,Cyclobenzaprine,1 tablet every 8 hours,Continuous,Take with water,Get adequate rest
82,General,Fever,"high temperature, chills",Ibuprofen,1 tablet twice daily,10 days,Do not exceed recommended dose,Get adequate rest
83,Digestive,Diarrhea,"loose motion, dehydration",ORS,1 tablet every 8 hours,As prescribed,Avoid driving after taking medicine,Get adequate rest
84,Skin,Acne,"pimples, oily skin",Clindamycin,1 tablet after meal,5 days,Take after food,Consult doctor if no improvement in 3 days
85,Endocrine,PCOS,"irregular periods, acne",Metformin,1 tablet twice daily,10 days,Store in cool dry place,Monitor symptoms regularly
86,Endocrine,PCOS,"irregular periods, acne",Clomiphene,1 tablet every 8 hours,As prescribed,Take after food,Avoid spicy and oily food
87,Neurological,Anxiety,"restlessness, tension",Alprazolam,1 tablet every 8 hours,Continuous,Store in cool dry place,Monitor blood sugar levels
88,Skin,Acne,"pimples, oily skin",Adapalene,1 capsule daily,5 days,Take with water,Monitor blood sugar levels
89,Endocrine,PCOS,"irregular periods, acne",Clomiphene,1 tablet every 8 hours,7 days,Avoid alcohol,Take full course even if you feel better
90,General,Dehydration,"dry mouth, dizziness",Electrolyte Solution,1 tablet after meal,10 days,Consult doctor if symptoms persist,Consult doctor if no improvement in 3 days
91,Cardiac,Angina,"chest pain, short breath",Aspirin,1 capsule daily,10 days,Consult doctor if symptoms persist,Take full course even if you feel better
92,Respiratory,Bronchitis,"cough, chest congestion",Ambroxol,5 ml syrup twice daily,10 days,Avoid driving after taking medicine,Check blood pressure regularly
93,Cardiac,Arrhythmia,irregular heartbeat,Propranolol,1 tablet after meal,10 days,Consult doctor if symptoms persist,Get adequate rest
94,Respiratory,Allergic Rhinitis,"sneezing, itchy nose",Fluticasone,1 tablet after meal,Continuous,Take with water,Can be taken with meals
95,Infection,Bacterial Infection,"fever, pain",Ciprofloxacin,5 ml syrup twice daily,As prescribed,Do not exceed recommended dose,Monitor blood sugar levels
96,Digestive,Gastritis,"stomach pain, acidity",Pantoprazole,5 ml syrup twice daily,Continuous,Consult doctor if symptoms persist,Monitor symptoms regularly
97,Infection,Bacterial Infection,"fever, pain",Amoxicillin,1 tablet after meal,10 days,Take after food,Take full course even if you feel better
98,Infection,Urinary Tract Infection,burning urination,Nitrofurantoin,1 tablet every 8 hours,Continuous,Do not exceed recommended dose,Get adequate rest
99,Respiratory,Allergic Rhinitis,"sneezing, itchy nose",Loratadine,1 tablet twice daily,10 days,Consult doctor if symptoms persist,Can be taken with meals
100,Digestive,Ulcer,"stomach pain, heartburn",Ranitidine,1 capsule daily,As prescribed,Take after food,Monitor blood sugar levels
101,Endocrine,Thyroid Disorder,"fatigue, weight change",Carbimazole,1 tablet after meal,7 days,Consult doctor if symptoms persist,Check blood pressure regularly
102,General,Fever,"high temperature, chills",Paracetamol,1 capsule daily,10 days,Do not exceed recommended dose,Monitor symptoms regularly
103,Cardiac,Heart Failure,"fatigue, swelling",Furosemide,1 tablet every 8 hours,7 days,Take with water,Can be taken with meals
104,Neurological,Epilepsy,"seizure, convulsion",Carbamazepine,1 tablet every 8 hours,7 days,Take after food,Take full course even if you feel better
105,Neurological,Insomnia,lack of sleep,Zolpidem,5 ml syrup twice daily,Continuous,Consult doctor if symptoms persist,Monitor symptoms regularly
106,General,Weakness,"tiredness, fatigue",Iron Supplements,1 tablet every 8 hours,5 days,Consult doctor if symptoms persist,Monitor symptoms regularly
107,Respiratory,Allergic Rhinitis,"sneezing, itchy nose",Fluticasone,5 ml syrup twice daily,As prescribed,Stay hydrated,Consult doctor if no improvement in 3 days
108,Neurological,Anxiety,"restlessness, tension",Diazepam,1 capsule daily,Continuous,Consult doctor if symptoms persist,Get adequate rest
109,Cardiac,Hypertension,high blood pressure,Amlodipine,1 tablet twice daily,5 days,Stay hydrated,Monitor blood sugar levels
110,Infection,Bacterial Infection,"fever, pain",Amoxicillin,1 tablet twice daily,10 days,Take with water,Take full course even if you feel better
111,Respiratory,Asthma,"wheezing, shortness of breath",Montelukast,1 capsule daily,10 days,Do not exceed recommended dose,Can be taken with meals
112,Respiratory,Asthma,"wheezing, shortness of breath",Montelukast,1 tablet every 8 hours,As prescribed,Consult doctor if symptoms persist,Can be taken with meals
113,Musculoskeletal,Gout,"joint pain, uric acid",Allopurinol,1 tablet twice daily,As prescribed,Consult doctor if symptoms persist,Can be taken with meals
114,Infection,Ear Infection,"ear pain, discharge",Ciprofloxacin Ear Drops,1 tablet every 8 hours,7 days,Avoid driving after taking medicine,Monitor symptoms regularly
115,Infection,Bacterial Infection,"fever, pain",Ciprofloxacin,1 tablet every 8 hours,As prescribed,Do not exceed recommended dose,Can be taken with meals
116,Musculoskeletal,Gout,"joint pain, uric acid",Allopurinol,1 capsule daily,5 days,Avoid driving after taking medicine,Monitor symptoms regularly
117,Musculoskeletal,Muscle Cramps,stiff muscles,Cyclobenzaprine,1 tablet twice daily,10 days,Store in cool dry place,Take full course even if you feel better
118,General,Dehydration,"dry mouth, dizziness",Electrolyte Solution,1 tablet after meal,Continuous,Take after food,Check blood pressure regularly
119,Digestive,Constipation,"hard stool, bloating",Bisacodyl,5 ml syrup twice daily,Continuous,Take after food,Check blood pressure regularly
120,General,Weakness,"tiredness, fatigue",Vitamin B Complex,5 ml syrup twice daily,As prescribed,Store in cool dry place,Check blood pressure regularly
121,Digestive,Constipation,"hard stool, bloating",Lactulose,1 tablet twice daily,As prescribed,Take with water,Consult doctor if no improvement in 3 days
122,Neurological,Insomnia,lack of sleep,Melatonin,5 ml syrup twice daily,5 days,Take with water,Get adequate rest
123,Cardiac,Arrhythmia,irregular heartbeat,Amiodarone,1 tablet twice daily,5 days,Consult doctor if symptoms persist,Take full course even if you feel better
124,Respiratory,Bronchitis,"cough, chest congestion",Ambroxol,1 tablet every 8 hours,As prescribed,Stay hydrated,Consult doctor if no improvement in 3 days
125,Cardiac,Arrhythmia,irregular heartbeat,Propranolol,1 tablet after meal,Continuous,Avoid alcohol,Check blood pressure regularly
126,Respiratory,Asthma,"wheezing, shortness of breath",Salbutamol,1 tablet every 8 hours,10 days,Take with water,Check blood pressure regularly
127,Cardiac,Angina,"chest pain, short breath",Nitroglycerin,1 capsule daily,7 days,Consult doctor if symptoms persist,Avoid spicy and oily food
128,Digestive,Ulcer,"stomach pain, heartburn",Sucralfate,1 tablet twice daily,7 days,Consult doctor if symptoms persist,Take full course even if you feel better
129,Digestive,Gastritis,"stomach pain, acidity",Pantoprazole,1 capsule daily,5 days,Take after food,Check blood pressure regularly
130,General,Dehydration,"dry mouth, dizziness",ORS,1 tablet after meal,5 days,Store in cool dry place,Check blood pressure regularly
131,Endocrine,Thyroid Disorder,"fatigue, weight change",Levothyroxine,1 tablet twice daily,5 days,Stay hydrated,Get adequate rest
132,Neurological,Epilepsy,"seizure, convulsion",Carbamazepine,1 tablet after meal,7 days,Avoid driving after taking medicine,Take full course even if you feel better
133,General,Dehydration,"dry mouth, dizziness",ORS,1 tablet twice daily,7 days,Take after food,Check blood pressure regularly
134,Neurological,Migraine,"headache, nausea",Ibuprofen,1 tablet twice daily,Continuous,Avoid alcohol,Consult doctor if no improvement in 3 days
135,Neurological,Anxiety,"restlessness, tension",Alprazolam,1 capsule daily,As prescribed,Do not exceed recommended dose,Get adequate rest
136,Digestive,Constipation,"hard stool, bloating",Bisacodyl,1 tablet every 8 hours,10 days,Avoid alcohol,Monitor blood sugar levels
137,Digestive,Ulcer,"stomach pain, heartburn",Sucralfate,1 tablet after meal,5 days,Avoid driving after taking medicine,Monitor blood sugar levels
138,Infection,Ear Infection,"ear pain, discharge",Amoxicillin,5 ml syrup twice daily,7 days,Avoid driving after taking medicine,Check blood pressure regularly
139,Musculoskeletal,Gout,"joint pain, uric acid",Allopurinol,1 tablet twice daily,As prescribed,Take with water,Monitor symptoms regularly
140,Skin,Acne,"pimples, oily skin",Adapalene,5 ml syrup twice daily,Continuous,Take after food,Monitor blood sugar levels
141,Infection,Urinary Tract Infection,burning urination,Cefixime,1 capsule daily,Continuous,Stay hydrated,Can be taken with meals
142,Musculoskeletal,Muscle Cramps,stiff muscles,Magnesium,1 tablet every 8 hours,5 days,Store in cool dry place,Get adequate rest
143,Neurological,Epilepsy,"seizure, convulsion",Valproate,1 tablet every 8 hours,10 days,Consult doctor if symptoms persist,Consult doctor if no improvement in 3 days
144,Infection,Viral Infection,"fever, sore throat",Paracetamol,1 tablet every 8 hours,7 days,Do not exceed recommended dose,Can be taken with meals
145,General,Pain,"body pain, headache",Diclofenac,1 tablet twice daily,Continuous,Avoid alcohol,Get adequate rest
146,Digestive,Diarrhea,"loose motion, dehydration",Loperamide,1 tablet twice daily,As prescribed,Avoid alcohol,Can be taken with meals
147,Cardiac,Hypertension,high blood pressure,Losartan,1 tablet every 8 hours,5 days,Avoid alcohol,Can be taken with meals
148,Endocrine,PCOS,"irregular periods, acne",Clomiphene,1 capsule daily,As prescribed,Stay hydrated,Avoid spicy and oily food
149,Endocrine,Diabetes,high blood sugar,Glimepiride,1 tablet every 8 hours,As prescribed,Take after food,Monitor symptoms regularly
150,Digestive,Ulcer,"stomach pain, heartburn",Sucralfate,5 ml syrup twice daily,7 days,Do not exceed recommended dose,Avoid spicy and oily food
151,Cardiac,Hypertension,high blood pressure,Amlodipine,1 tablet twice daily,Continuous,Consult doctor if symptoms persist,Monitor symptoms regularly
152,Infection,Bacterial Infection,"fever, pain",Ciprofloxacin,1 capsule daily,7 days,Avoid alcohol,Monitor blood sugar levels
153,Musculoskeletal,Muscle Cramps,stiff muscles,Cyclobenzaprine,1 tablet twice daily,Continuous,Do not exceed recommended dose,Consult doctor if no improvement in 3 days
154,Skin,Fungal Infection,"itching, rashes",Clotrimazole,5 ml syrup twice daily,7 days,Take after food,Monitor symptoms regularly
155,Neurological,Migraine,"headache, nausea",Ibuprofen,1 tablet twice daily,Continuous,Consult doctor if symptoms persist,Take full course even if you feel better
156,Digestive,Ulcer,"stomach pain, heartburn",Sucralfate,1 capsule daily,5 days,Take after food,Avoid spicy and oily food
157,Digestive,Ulcer,"stomach pain, heartburn",Sucralfate,5 ml syrup twice daily,As prescribed,Avoid alcohol,Monitor blood sugar levels
158,Neurological,Insomnia,lack of sleep,Zolpidem,1 tablet every 8 hours,As prescribed,Stay hydrated,Monitor blood sugar levels
159,Endocrine,Obesity,"overweight, high BMI",Orlistat,1 tablet every 8 hours,7 days,Take after food,Take full course even if you feel better
160,Endocrine,Diabetes,high blood sugar,Metformin,5 ml syrup twice daily,As prescribed,Store in cool dry place,Can be taken with meals
161,General,Pain,"body pain, headache",Paracetamol,1 capsule daily,As prescribed,Consult doctor if symptoms persist,Take full course even if you feel better
162,Neurological,Epilepsy,"seizure, convulsion",Carbamazepine,1 tablet after meal,10 days,Avoid alcohol,Avoid spicy and oily food
163,Cardiac,Angina,"chest pain, short breath",Nitroglycerin,1 tablet after meal,5 days,Do not exceed recommended dose,Get adequate rest
164,Cardiac,Hypertension,high blood pressure,Losartan,1 tablet twice daily,10 days,Store in cool dry place,Avoid spicy and oily food
165,Respiratory,Cold,"runny nose, sore throat",Cetirizine,1 tablet after meal,Continuous,Store in cool dry place,Take full course even if you feel better
166,Neurological,Epilepsy,"seizure, convulsion",Valproate,1 tablet every 8 hours,Continuous,Store in cool dry place,Can be taken with meals
167,Infection,Ear Infection,"ear pain, discharge",Amoxicillin,1 tablet every 8 hours,7 days,Take after food,Avoid spicy and oily food
