id,disease_category,condition,symptom_keywords,recommended_medicine,dosage,duration,precautions,notes
168,Endocrine,Diabetes,high blood sugar,Metformin,1 tablet after meal,As prescribed,Stay hydrated,Take full course even if you feel better
169,Cardiac,Hypertension,high blood pressure,Losartan,1 tablet every 8 hours,10 days,Take with water,Take full course even if you feel better
170,Neurological,Insomnia,lack of sleep,Melatonin,5 ml syrup twice daily,As prescribed,Store in cool dry place,Get adequate rest
171,Skin,Psoriasis,scaly patches,Betamethasone,1 tablet every 8 hours,Continuous,Avoid driving after taking medicine,Can be taken with meals
172,Skin,Fungal Infection,"itching, rashes",Fluconazole,1 tablet every 8 hours,7 days,Stay hydrated,Check blood pressure regularly
173,Respiratory,Bronchitis,"cough, chest congestion",Ambroxol,1 tablet twice daily,10 days,Avoid driving after taking medicine,Avoid spicy and oily food
174,Neurological,Insomnia,lack of sleep,Melatonin,1 capsule daily,7 days,Take after food,Can be taken with meals
175,Respiratory,Cold,"runny nose, sore throat",Paracetamol,1 tablet every 8 hours,7 days,Consult doctor if symptoms persist,Can be taken with meals
176,Infection,Ear Infection,"ear pain, discharge",Ciprofloxacin Ear Drops,1 tablet after meal,10 days,Consult doctor if symptoms persist,Check blood pressure regularly
177,General,Pain,"body pain, headache",Diclofenac,1 tablet after meal,Continuous,Take with water,Take full course even if you feel better
178,Digestive,Ulcer,"stomach pain, heartburn",Ranitidine,1 tablet every 8 hours,5 days,Store in cool dry place,Avoid spicy and oily food
179,Infection,Viral Infection,"fever, sore throat",Paracetamol,5 ml syrup twice daily,Continuous,Avoid alcohol,Monitor symptoms regularly
180,Respiratory,Cold,"runny nose, sore throat",Paracetamol,5 ml syrup twice daily,10 days,Avoid alcohol,Take full course even if you feel better
181,Musculoskeletal,Muscle Cramps,stiff muscles,Cyclobenzaprine,5 ml syrup twice daily,5 days,Stay hydrated,Consult doctor if no improvement in 3 days
182,Musculoskeletal,Arthritis,"joint pain, swelling",Diclofenac,1 capsule daily,7 days,Take after food,Take full course even if you feel better
183,Endocrine,Obesity,"overweight, high BMI",Phentermine,1 tablet every 8 hours,Continuous,Avoid driving after taking medicine,Avoid spicy and oily food
184,Endocrine,Diabetes,high blood sugar,Glimepiride,1 tablet after meal,7 days,Avoid driving after taking medicine,Check blood pressure regularly
185,Cardiac,Hypertension,high blood pressure,Losartan,1 capsule daily,7 days,Take with water,Take full course even if you feel better
186,Digestive,Gastritis,"stomach pain, acidity",Pantoprazole,5 ml syrup twice daily,As prescribed,Store in cool dry place,Consult doctor if no improvement in 3 days
187,Cardiac,Hypertension,high blood pressure,Losartan,1 tablet after meal,10 days,Avoid driving after taking medicine,Monitor symptoms regularly
188,General,Pain,"body pain, headache",Paracetamol,5 ml syrup twice daily,5 days,Avoid alcohol,Check blood pressure regularly
189,Respiratory,Cold,"runny nose, sore throat",Cetirizine,5 ml syrup twice daily,As prescribed,Consult doctor if symptoms persist,Monitor blood sugar levels
190,Respiratory,Cold,"runny nose, sore throat",Paracetamol,1 tablet after meal,5 days,Do not exceed recommended dose,Take full course even if you feel better
191,Musculoskeletal,Arthritis,"joint pain, swelling",Naproxen,1 tablet every 8 hours,5 days,Avoid alcohol,Check blood pressure regularly
192,Respiratory,Asthma,"wheezing, shortness of breath",Salbutamol,1 tablet after meal,5 days,Take with water,Avoid spicy and oily food
193,Respiratory,Cold,"runny nose, sore throat",Cetirizine,1 capsule daily,As prescribed,Do not exceed recommended dose,Monitor blood sugar levels
194,Infection,Ear Infection,"ear pain, discharge",Ciprofloxacin Ear Drops,1 tablet twice daily,Continuous,Store in cool dry place,Take full course even if you feel better
195,Skin,Eczema,"dry skin, itching",Cetirizine,1 tablet twice daily,7 days,Avoid driving after taking medicine,Can be taken with meals
196,Cardiac,Heart Failure,"fatigue, swelling",Digoxin,5 ml syrup twice daily,10 days,Store in cool dry place,Check blood pressure regularly
197,Neurological,Migraine,"headache, nausea",Sumatriptan,1 tablet twice daily,Continuous,Do not exceed recommended dose,Check blood pressure regularly
198,Respiratory,Bronchitis,"cough, chest congestion",Azithromycin,1 tablet after meal,Continuous,Store in cool dry place,Can be taken with meals
199,Neurological,Migraine,"headache, nausea",Sumatriptan,1 tablet every 8 hours,5 days,Take after food,Avoid spicy and oily food
200,Neurological,Anxiety,"restlessness, tension",Diazepam,1 tablet after meal,10 days,Avoid alcohol,Check blood pressure regularly
201,Musculoskeletal,Gout,"joint pain, uric acid",Allopurinol,1 tablet every 8 hours,As prescribed,Stay hydrated,Avoid spicy and oily food
202,Neurological,Insomnia,lack of sleep,Melatonin,5 ml syrup twice daily,As prescribed,Take with water,Can be taken with meals
203,Infection,Ear Infection,"ear pain, discharge",Amoxicillin,5 ml syrup twice daily,Continuous,Do not exceed recommended dose,Take full course even if you feel better
204,Cardiac,Arrhythmia,irregular heartbeat,Propranolol,1 tablet after meal,7 days,Take after food,Consult doctor if no improvement in 3 days
205,Infection,Bacterial Infection,"fever, pain",Amoxicillin,1 capsule daily,7 days,Do not exceed recommended dose,Consult doctor if no improvement in 3 days
206,Cardiac,Heart Failure,"fatigue, swelling",Digoxin,1 tablet twice daily,7 days,Do not exceed recommended dose,Check blood pressure regularly
207,Neurological,Insomnia,lack of sleep,Melatonin,1 tablet after meal,5 days,Do not exceed recommended dose,Check blood pressure regularly
208,Endocrine,Obesity,"overweight, high BMI",Orlistat,5 ml syrup twice daily,7 days,Take with water,Monitor symptoms regularly
209,Infection,Viral Infection,"fever, sore throat",Paracetamol,1 tablet after meal,10 days,Consult doctor if symptoms persist,Avoid spicy and oily food
210,Digestive,Constipation,"hard stool, bloating",Lactulose,1 capsule daily,As prescribed,Consult doctor if symptoms persist,Check blood pressure regularly
211,General,Fever,"high temperature, chills",Ibuprofen,1 capsule daily,10 days,Consult doctor if symptoms persist,Avoid spicy and oily food
212,Skin,Eczema,"dry skin, itching",Cetirizine,1 tablet twice daily,As prescribed,Avoid driving after taking medicine,Monitor symptoms regularly
213,Musculoskeletal,Gout,"joint pain, uric acid",Allopurinol,5 ml syrup twice daily,As prescribed,Avoid alcohol,Monitor blood sugar levels
214,General,Dehydration,"dry mouth, dizziness",Electrolyte Solution,5 ml syrup twice daily,5 days,Take with water,Take full course even if you feel better
215,Musculoskeletal,Muscle Cramps,stiff muscles,Magnesium,1 capsule daily,Continuous,Store in cool dry place,Check blood pressure regularly
216,Cardiac,Arrhythmia,irregular heartbeat,Amiodarone,1 capsule daily,5 days,Take after food,Take full course even if you feel better
217,Skin,Acne,"pimples, oily skin",Adapalene,1 capsule daily,As prescribed,Do not exceed recommended dose,Check blood pressure regularly
218,Respiratory,Asthma,"wheezing, shortness of breath",Salbutamol,5 ml syrup twice daily,5 days,Do not exceed recommended dose,Avoid spicy and oily food
219,Respiratory,Cold,"runny nose, sore throat",Cetirizine,1 tablet twice daily,7 days,Avoid driving after taking medicine,Consult doctor if no improvement in 3 days
220,Musculoskeletal,Gout,"joint pain, uric acid",Allopurinol,1 tablet twice daily,As prescribed,Avoid alcohol,Monitor blood sugar levels
221,General,Pain,"body pain, headache",Paracetamol,1 capsule daily,As prescribed,Stay hydrated,Can be taken with meals
222,Infection,Urinary Tract Infection,burning urination,Cefixime,5 ml syrup twice daily,Continuous,Stay hydrated,Consult doctor if no improvement in 3 days
223,Musculoskeletal,Arthritis,"joint pain, swelling",Naproxen,1 tablet every 8 hours,Continuous,Consult doctor if symptoms persist,Take full course even if you feel better
224,Endocrine,PCOS,"irregular periods, acne",Metformin,1 tablet twice daily,Continuous,Avoid driving after taking medicine,Monitor blood sugar levels
225,Skin,Fungal Infection,"itching, rashes",Clotrimazole,1 tablet every 8 hours,7 days,Stay hydrated,Monitor blood sugar levels
226,Endocrine,Thyroid Disorder,"fatigue, weight change",Levothyroxine,1 tablet twice daily,10 days,Avoid alcohol,Avoid spicy and oily food
227,Neurological,Epilepsy,"seizure, convulsion",Valproate,5 ml syrup twice daily,7 days,Take with water,Monitor symptoms regularly
228,General,Fever,"high temperature, chills",Paracetamol,5 ml syrup twice daily,5 days,Store in cool dry place,Monitor blood sugar levels
229,Respiratory,Cold,"runny nose, sore throat",Cetirizine,1 tablet every 8 hours,10 days,Avoid alcohol,Can be taken with meals
230,Cardiac,Heart Failure,"fatigue, swelling",Furosemide,1 tablet after meal,Continuous,Take after food,Get adequate rest
231,Respiratory,Cold,"runny nose, sore throat",Paracetamol,5 ml syrup twice daily,5 days,Avoid driving after taking medicine,Avoid spicy and oily food
232,General,Dehydration,"dry mouth, dizziness",Electrolyte Solution,5 ml syrup twice daily,5 days,Take with water,Check blood pressure regularly
233,Endocrine,Thyroid Disorder,"fatigue, weight change",Levothyroxine,1 capsule daily,As prescribed,Avoid driving after taking medicine,Monitor blood sugar levels
234,Cardiac,Heart Failure,"fatigue, swelling",Digoxin,1 capsule daily,10 days,Store in cool dry place,Consult doctor if no improvement in 3 days
235,Respiratory,Allergic Rhinitis,"sneezing, itchy nose",Fluticasone,1 tablet every 8 hours,Continuous,Consult doctor if symptoms persist,Can be taken with meals
236,Musculoskeletal,Arthritis,"joint pain, swelling",Diclofenac,5 ml syrup twice daily,Continuous,Take with water,Get adequate rest
237,Musculoskeletal,Arthritis,"joint pain, swelling",Naproxen,1 tablet after meal,5 days,Avoid alcohol,Consult doctor if no improvement in 3 days
238,Musculoskeletal,Gout,"joint pain, uric acid",Allopurinol,1 tablet every 8 hours,As prescribed,Avoid driving after taking medicine,Get adequate rest
239,Skin,Psoriasis,scaly patches,Betamethasone,1 tablet every 8 hours,10 days,Avoid driving after taking medicine,Take full course even if you feel better
240,Digestive,Gastritis,"stomach pain, acidity",Pantoprazole,1 capsule daily,As prescribed,Take after food,Monitor blood sugar levels
241,Infection,Viral Infection,"fever, sore throat",Paracetamol,1 capsule daily,Continuous,Take after food,Monitor blood sugar levels
242,Skin,Psoriasis,scaly patches,Coal Tar,1 capsule daily,10 days,Stay hydrated,Monitor symptoms regularly
243,Infection,Bacterial Infection,"fever, pain",Amoxicillin,1 tablet twice daily,7 days,Take with water,Avoid spicy and oily food
244,Endocrine,Obesity,"overweight, high BMI",Orlistat,1 tablet after meal,7 days,Avoid driving after taking medicine,Take full course even if you feel better
245,Digestive,Ulcer,"stomach pain, heartburn",Ranitidine,1 capsule daily,7 days,Store in cool dry place,Check blood pressure regularly
246,Cardiac,Angina,"chest pain, short breath",Nitroglycerin,5 ml syrup twice daily,10 days,Avoid alcohol,Monitor blood sugar levels
247,Infection,Bacterial Infection,"fever, pain",Ciprofloxacin,1 tablet twice daily,5 days,Take after food,Check blood pressure regularly
248,Cardiac,Hypertension,high blood pressure,Losartan,1 tablet every 8 hours,5 days,Stay hydrated,Get adequate rest
249,Infection,Viral Infection,"fever, sore throat",Paracetamol,5 ml syrup twice daily,As prescribed,Avoid alcohol,Avoid spicy and oily food
250,Musculoskeletal,Back Pain,lower back pain,Paracetamol,1 capsule daily,As prescribed,Stay hydrated,Monitor symptoms regularly
251,Digestive,Gastritis,"stomach pain, acidity",Omeprazole,5 ml syrup twice daily,As prescribed,Take after food,Take full course even if you feel better
252,Digestive,Gastritis,"stomach pain, acidity",Omeprazole,1 capsule daily,10 days,Store in cool dry place,Consult doctor if no improvement in 3 days
253,General,Weakness,"tiredness, fatigue",Vitamin B Complex,1 tablet after meal,10 days,Take after food,Monitor blood sugar levels
254,General,Weakness,"tiredness, fatigue",Vitamin B Complex,1 tablet every 8 hours,10 days,Do not exceed recommended dose,Check blood pressure regularly
255,Infection,Ear Infection,"ear pain, discharge",Ciprofloxacin Ear Drops,1 capsule daily,5 days,Stay hydrated,Can be taken with meals
256,Respiratory,Allergic Rhinitis,"sneezing, itchy nose",Loratadine,1 tablet every 8 hours,Continuous,Store in cool dry place,Take full course even if you feel better
257,Musculoskeletal,Muscle Cramps,stiff muscles,Magnesium,1 tablet every 8 hours,Continuous,Do not exceed recommended dose,Get adequate rest
258,Musculoskeletal,Muscle Cramps,stiff muscles,Magnesium,1 tablet twice daily,10 days,Stay hydrated,Monitor symptoms regularly
259,General,Dehydration,"dry mouth, dizziness",Electrolyte Solution,5 ml syrup twice daily,Continuous,Avoid driving after taking medicine,Take full course even if you feel better
260,Endocrine,Thyroid Disorder,"fatigue, weight change",Carbimazole,5 ml syrup twice daily,Continuous,Avoid alcohol,Get adequate rest
261,General,Weakness,"tiredness, fatigue",Vitamin B Complex,5 ml syrup twice daily,Continuous,Take with water,Monitor symptoms regularly
262,Neurological,Epilepsy,"seizure, convulsion",Valproate,1 tablet twice daily,7 days,Take after food,Get adequate rest
263,Endocrine,Obesity,"overweight, high BMI",Phentermine,1 tablet every 8 hours,10 days,Stay hydrated,Avoid spicy and oily food
264,Cardiac,Hypertension,high blood pressure,Losartan,5 ml syrup twice daily,5 days,Consult doctor if symptoms persist,Monitor symptoms regularly
265,Endocrine,PCOS,"irregular periods, acne",Metformin,1 tablet every 8 hours,Continuous,Store in cool dry place,Consult doctor if no improvement in 3 days
266,General,Weakness,"tiredness, fatigue",Vitamin B Complex,1 tablet every 8 hours,5 days,Consult doctor if symptoms persist,Monitor symptoms regularly
267,Neurological,Insomnia,lack of sleep,Zolpidem,5 ml syrup twice daily,As prescribed,Store in cool dry place,Monitor symptoms regularly
268,Neurological,Migraine,"headache, nausea",Ibuprofen,1 capsule daily,7 days,Take with water,Can be taken with meals
269,Cardiac,Angina,"chest pain, short breath",Aspirin,1 tablet after meal,Continuous,Do not exceed recommended dose,Monitor symptoms regularly
270,Cardiac,Angina,"chest pain, short breath",Nitroglycerin,5 ml syrup twice daily,10 days,Do not exceed recommended dose,Can be taken with meals
271,Respiratory,Allergic Rhinitis,"sneezing, itchy nose",Loratadine,1 tablet twice daily,10 days,Take after food,Monitor symptoms regularly
272,Digestive,Constipation,"hard stool, bloating",Lactulose,1 capsule daily,10 days,Take after food,Get adequate rest
273,Cardiac,Heart Failure,"fatigue, swelling",Furosemide,1 tablet twice daily,As prescribed,Consult doctor if symptoms persist,Get adequate rest
274,Cardiac,Arrhythmia,irregular heartbeat,Propranolol,1 capsule daily,7 days,Stay hydrated,Monitor blood sugar levels
275,Neurological,Epilepsy,"seizure, convulsion",Carbamazepine,5 ml syrup twice daily,7 days,Avoid alcohol,Get adequate rest
276,Cardiac,Hypertension,high blood pressure,Losartan,1 tablet every 8 hours,5 days,Avoid alcohol,Take full course even if you feel better
277,Endocrine,Thyroid Disorder,"fatigue, weight change",Levothyroxine,1 tablet every 8 hours,7 days,Consult doctor if symptoms persist,Check blood pressure regularly
278,Infection,Bacterial Infection,"fever, pain",Amoxicillin,1 tablet after meal,5 days,Take with water,Can be taken with meals
279,Musculoskeletal,Back Pain,lower back pain,Paracetamol,1 capsule daily,Continuous,Do not exceed recommended dose,Consult doctor if no improvement in 3 days
280,Cardiac,Hypertension,high blood pressure,Losartan,5 ml syrup twice daily,5 days,Consult doctor if symptoms persist,Monitor blood sugar levels
281,Cardiac,Angina,"chest pain, short breath",Aspirin,5 ml syrup twice daily,Continuous,Take after food,Monitor blood sugar levels
282,General,Fever,"high temperature, chills",Ibuprofen,1 tablet twice daily,7 days,Store in cool dry place,Consult doctor if no improvement in 3 days
283,Endocrine,Obesity,"overweight, high BMI",Orlistat,1 tablet every 8 hours,7 days,Take with water,Consult doctor if no improvement in 3 days
284,Respiratory,Allergic Rhinitis,"sneezing, itchy nose",Loratadine,1 tablet after meal,5 days,Stay hydrated,Avoid spicy and oily food
285,Neurological,Epilepsy,"seizure, convulsion",Carbamazepine,1 tablet after meal,7 days,Consult doctor if symptoms persist,Take full course even if you feel better
286,Skin,Psoriasis,scaly patches,Betamethasone,1 capsule daily,5 days,Consult doctor if symptoms persist,Get adequate rest
287,Neurological,Anxiety,"restlessness, tension",Alprazolam,1 capsule daily,5 days,Stay hydrated,Avoid spicy and oily food
288,Respiratory,Allergic Rhinitis,"sneezing, itchy nose",Loratadine,5 ml syrup twice daily,As prescribed,Consult doctor if symptoms persist,Can be taken with meals
289,Musculoskeletal,Back Pain,lower back pain,Ibuprofen,5 ml syrup twice daily,Continuous,Avoid driving after taking medicine,Take full course even if you feel better
290,Musculoskeletal,Back Pain,lower back pain,Paracetamol,1 tablet after meal,5 days,Stay hydrated,Take full course even if you feel better
291,Infection,Viral Infection,"fever, sore throat",Acyclovir,1 tablet twice daily,10 days,Avoid alcohol,Monitor symptoms regularly
292,Musculoskeletal,Muscle Cramps,stiff muscles,Magnesium,5 ml syrup twice daily,As prescribed,Avoid driving after taking medicine,Monitor symptoms regularly
293,Musculoskeletal,Gout,"joint pain, uric acid",Allopurinol,1 capsule daily,7 days,Store in cool dry place,Consult doctor if no improvement in 3 days
294,Infection,Viral Infection,"fever, sore throat",Acyclovir,1 tablet after meal,As prescribed,Take after food,Get adequate rest
295,Endocrine,Obesity,"overweight, high BMI",Phentermine,5 ml syrup twice daily,Continuous,Take with water,Consult doctor if no improvement in 3 days
296,General,Weakness,"tiredness, fatigue",Vitamin B Complex,1 tablet after meal,10 days,Do not exceed recommended dose,Consult doctor if no improvement in 3 days
297,General,Dehydration,"dry mouth, dizziness",ORS,1 tablet after meal,5 days,Do not exceed recommended dose,Monitor symptoms regularly
298,General,Dehydration,"dry mouth, dizziness",ORS,1 capsule daily,10 days,Consult doctor if symptoms persist,Monitor symptoms regularly
299,Skin,Psoriasis,scaly patches,Coal Tar,1 capsule daily,7 days,Take after food,Take full course even if you feel better
300,Musculoskeletal,Muscle Cramps,stiff muscles,Magnesium,1 tablet twice daily,10 days,Avoid alcohol,Consult doctor if no improvement in 3 days
301,Neurological,Insomnia,lack of sleep,Melatonin,1 tablet every 8 hours,As prescribed,Do not exceed recommended dose,Get adequate rest
302,Cardiac,Hypertension,high blood pressure,Losartan,1 tablet every 8 hours,7 days,Take with water,Get adequate rest
303,Cardiac,Heart Failure,"fatigue, swelling",Furosemide,1 tablet twice daily,As prescribed,Take with water,Monitor blood sugar levels
304,General,Weakness,"tiredness, fatigue",Vitamin B Complex,1 tablet twice daily,10 days,Avoid alcohol,Consult doctor if no improvement in 3 days
305,General,Dehydration,"dry mouth, dizziness",Electrolyte Solution,1 tablet every 8 hours,10 days,Consult doctor if symptoms persist,Monitor symptoms regularly
306,Skin,Fungal Infection,"itching, rashes",Fluconazole,5 ml syrup twice daily,10 days,Avoid alcohol,Take full course even if you feel better
307,Neurological,Anxiety,"restlessness, tension",Diazepam,1 tablet twice daily,Continuous,Take after food,Take full course even if you feel better
308,Musculoskeletal,Muscle Cramps,stiff muscles,Cyclobenzaprine,1 tablet every 8 hours,10 days,Stay hydrated,Consult doctor if no improvement in 3 days
309,Cardiac,Angina,"chest pain, short breath",Aspirin,1 tablet every 8 hours,Continuous,Avoid driving after taking medicine,Avoid spicy and oily food
310,Respiratory,Asthma,"wheezing, shortness of breath",Salbutamol,5 ml syrup twice daily,7 days,Store in cool dry place,Take full course even if you feel better
311,Cardiac,Hypertension,high blood pressure,Amlodipine,1 capsule daily,Continuous,Do not exceed recommended dose,Check blood pressure regularly
312,Skin,Eczema,"dry skin, itching",Cetirizine,1 tablet twice daily,7 days,Store in cool dry place,Avoid spicy and oily food
313,Cardiac,Hypertension,high blood pressure,Amlodipine,1 tablet after meal,As prescribed,Avoid driving after taking medicine,Monitor symptoms regularly
314,General,Fever,"high temperature, chills",Ibuprofen,1 tablet twice daily,Continuous,Stay hydrated,Take full course even if you feel better
315,Musculoskeletal,Muscle Cramps,stiff muscles,Cyclobenzaprine,5 ml syrup twice daily,Continuous,Avoid driving after taking medicine,Can be taken with meals
316,Respiratory,Allergic Rhinitis,"sneezing, itchy nose",Fluticasone,1 tablet after meal,10 days,Stay hydrated,Take full course even if you feel better
317,Skin,Psoriasis,scaly patches,Betamethasone,1 tablet after meal,10 days,Consult doctor if symptoms persist,Monitor blood sugar levels
318,General,Pain,"body pain, headache",Diclofenac,1 tablet after meal,Continuous,Store in cool dry place,Monitor symptoms regularly
319,Cardiac,Angina,"chest pain, short breath",Nitroglycerin,1 tablet after meal,Continuous,Avoid alcohol,Consult doctor if no improvement in 3 days
320,Neurological,Insomnia,lack of sleep,Zolpidem,1 capsule daily,Continuous,Consult doctor if symptoms persist,Monitor blood sugar levels
321,General,Pain,"body pain, headache",Paracetamol,5 ml syrup twice daily,10 days,Consult doctor if symptoms persist,Avoid spicy and oily food
322,Skin,Psoriasis,scaly patches,Betamethasone,5 ml syrup twice daily,5 days,Avoid driving after taking medicine,Get adequate rest
323,General,Fever,"high temperature, chills",Ibuprofen,1 tablet after meal,7 days,Consult doctor if symptoms persist,Take full course even if you feel better
324,Respiratory,Allergic Rhinitis,"sneezing, itchy nose",Fluticasone,1 tablet after meal,10 days,Do not exceed recommended dose,Check blood pressure regularly
325,Cardiac,Heart Failure,"fatigue, swelling",Digoxin,5 ml syrup twice daily,As prescribed,Stay hydrated,Can be taken with meals
326,Digestive,Ulcer,"stomach pain, heartburn",Sucralfate,5 ml syrup twice daily,Continuous,Take with water,Check blood pressure regularly
327,Neurological,Insomnia,lack of sleep,Melatonin,1 tablet every 8 hours,5 days,Take with water,Avoid spicy and oily food
328,Infection,Urinary Tract Infection,burning urination,Cefixime,1 capsule daily,10 days,Take after food,Can be taken with meals
329,General,Dehydration,"dry mouth, dizziness",Electrolyte Solution,1 tablet twice daily,7 days,Do not exceed recommended dose,Can be taken with meals
330,Infection,Bacterial Infection,"fever, pain",Ciprofloxacin,1 tablet every 8 hours,As prescribed,Avoid alcohol,Check blood pressure regularly
331,Digestive,Diarrhea,"loose motion, dehydration",Loperamide,1 tablet twice daily,5 days,Take with water,Take full course even if you feel better
332,General,Dehydration,"dry mouth, dizziness",Electrolyte Solution,1 tablet after meal,Continuous,Do not exceed recommended dose,Avoid spicy and oily food
333,Cardiac,Angina,"chest pain, short breath",Nitroglycerin,1 tablet after meal,As prescribed,Store in cool dry place,Consult doctor if no improvement in 3 days
